season,number_in_season,number_in_series,original_air_date,day_aired,imdb_rating,us_viewers_in_millions,title,is_last_episode
4,5,64,1992-10-29,Thursday,8.4,25.1,Treehouse of Horror III,0
4,9,68,1992-11-19,Thursday,8.8,24.0,Mr. Plow,0
5,13,94,1994-02-10,Thursday,8.3,21.8,Homer and Apu,0
5,16,97,1994-03-17,Thursday,8.5,18.0,Homer Loves Flanders,0
5,18,99,1994-04-14,Thursday,8.4,14.7,Burns' Heir,0
7,9,137,1995-11-26,Sunday,8.0,14.2,Sideshow Bob's Last Gleaming,0
6,10,113,1994-12-04,Sunday,8.0,14.1,Grampa vs. Sexual Inadequacy,0
7,19,147,1996-03-24,Sunday,8.2,12.9,A Fish Called Selma,0
6,14,117,1995-02-05,Sunday,8.6,18.7,Bart's Comet,0
7,3,131,1995-10-01,Sunday,8.3,14.5,Home Sweet Homediddly-Dum-Doodily,0
7,14,142,1996-02-04,Sunday,7.7,14.4,Scenes from the Class Struggle in Springfield,0
6,16,119,1995-02-19,Sunday,8.5,15.1,Bart vs. Australia,0
7,7,135,1995-11-05,Sunday,9.0,17.0,King-Size Homer,0
5,22,103,1994-05-19,Thursday,8.0,15.6,Secrets of a Successful Marriage,1
6,2,105,1994-09-11,Sunday,8.1,16.7,Lisa's Rival,0
6,18,121,1995-03-05,Sunday,8.5,14.4,A Star Is Burns,0
6,19,122,1995-03-19,Sunday,8.3,14.4,Lisa's Wedding,0
6,3,106,1994-09-25,Sunday,6.0,13.5,Another Simpsons Clip Show,0
7,5,133,1995-10-15,Sunday,8.5,14.6,Lisa the Vegetarian,0
6,21,124,1995-04-16,Sunday,8.1,11.8,The PTA Disbands,0
6,5,108,1994-10-09,Sunday,8.3,14.4,Sideshow Bob Roberts,0
6,7,110,1994-11-06,Sunday,8.0,15.3,Bart's Girlfriend,0
7,1,129,1995-09-17,Sunday,8.9,16.0,Who Shot Mr. Burns? (Part Two),0
6,23,126,1995-05-07,Sunday,8.2,12.7,The Springfield Connection,0
7,17,145,1996-02-25,Sunday,8.9,14.1,Homer the Smithers,0
6,9,112,1994-11-27,Sunday,9.0,17.0,Homer Badman,0
6,12,115,1995-01-08,Sunday,8.9,20.1,Homer the Great,0
7,10,138,1995-12-03,Sunday,7.5,16.4,The Simpsons 138th Episode Spectacular,0
